gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TenureGroup,ChargeRatio,TotalServices,MonthlyToTenureRatio,Senior_With_Partner,Cluster
Female,,Yes,No,1,,No phone service,DSL,,,,,,,Month-to-month,Yes,Electronic check,29.85,29.85,0,0-1yr,1.0,0.0,14.925,0,1
Male,,No,No,34,,No,DSL,,,,,,,One year,No,Mailed check,56.95,1889.5,0,2-3yr,0.03014024874305372,0.0,1.6271428571428572,0,1
Male,,No,No,2,,No,DSL,,,,,,,Month-to-month,Yes,Mailed check,53.85,108.15,1,0-1yr,0.49791955617198336,0.0,17.95,0,1
Male,,No,No,45,,No phone service,DSL,,,,,,,One year,No,Bank transfer (automatic),42.3,1840.75,0,3-4yr,0.02297976368328127,0.0,0.9195652173913043,0,1
Female,,No,No,2,,No,Fiber optic,,,,,,,Month-to-month,Yes,Electronic check,70.7,151.65,1,0-1yr,0.4662050774810419,0.0,23.566666666666666,0,1
Female,,No,No,8,,Yes,Fiber optic,,,,,,,Month-to-month,Yes,Electronic check,99.65,820.5,1,0-1yr,0.1214503351614869,0.0,11.072222222222223,0,1
Male,,No,Yes,22,,Yes,Fiber optic,,,,,,,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,0,1-2yr,0.04570637119113573,0.0,3.8739130434782605,0,1
Female,,No,No,10,,No phone service,DSL,,,,,,,Month-to-month,No,Mailed check,29.75,301.9,0,0-1yr,0.09854256376283538,0.0,2.7045454545454546,0,1
Female,,Yes,No,28,,Yes,Fiber optic,,,,,,,Month-to-month,Yes,Electronic check,104.8,3046.05,1,2-3yr,0.034405213309039576,0.0,3.613793103448276,0,0
Male,,No,Yes,62,,No,DSL,,,,,,,One year,No,Bank transfer (automatic),56.15,3487.95,0,5-6yr,0.016098281225361603,0.0,0.8912698412698412,0,0
Male,,Yes,Yes,13,,No,DSL,,,,,,,Month-to-month,Yes,Mailed check,49.95,587.45,0,1-2yr,0.08502851306494169,0.0,3.567857142857143,0,1
Male,,No,No,16,,No,No,,,,,,,Two year,No,Credit card (automatic),18.95,326.8,0,1-2yr,0.05798653610771114,0.0,1.1147058823529412,0,1
Male,,Yes,No,58,,Yes,Fiber optic,,,,,,,One year,No,Credit card (automatic),100.35,5681.1,0,4-5yr,0.017663832708454348,0.0,1.7008474576271186,0,0
Male,,No,No,49,,Yes,Fiber optic,,,,,,,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,1,4-5yr,0.02059051287651649,0.0,2.074,0,0
Male,,No,No,25,,No,Fiber optic,,,,,,,Month-to-month,Yes,Electronic check,105.5,2686.05,0,2-3yr,0.03927700526795853,0.0,4.0576923076923075,0,0
Female,,Yes,Yes,69,,Yes,Fiber optic,,,,,,,Two year,No,Credit card (automatic),113.25,7895.15,0,5-6yr,0.014344249317619046,0.0,1.6178571428571429,0,0
Female,,No,No,52,,No,No,,,,,,,One year,No,Mailed check,20.65,1022.95,0,4-5yr,0.020186714893201035,0.0,0.38962264150943393,0,1
Male,,No,Yes,71,,Yes,Fiber optic,,,,,,,Two year,No,Bank transfer (automatic),106.7,7382.25,0,5-6yr,0.01445358799823902,0.0,1.4819444444444445,0,0
Female,,Yes,Yes,10,,No,DSL,,,,,,,Month-to-month,No,Credit card (automatic),55.2,528.35,1,0-1yr,0.10447619948897512,0.0,5.0181818181818185,0,1
Female,,No,No,21,,No,Fiber optic,,,,,,,Month-to-month,Yes,Electronic check,90.05,1862.9,0,1-2yr,0.0483386118417521,0.0,4.093181818181818,0,1
Male,,No,No,1,,No phone service,DSL,,,,,,,Month-to-month,Yes,Electronic check,39.65,39.65,1,0-1yr,1.0,0.0,19.825,0,1
Male,,Yes,No,12,,No,No,,,,,,,One year,No,Bank transfer (automatic),19.8,202.25,0,0-1yr,0.09789864029666255,0.0,1.5230769230769232,0,1
Male,,No,No,1,,No,No,,,,,,,Month-to-month,No,Mailed check,20.15,20.15,1,0-1yr,1.0,0.0,10.075,0,1
Female,,Yes,No,58,,Yes,DSL,,,,,,,Two year,Yes,Credit card (automatic),59.9,3505.1,0,4-5yr,0.017089384040398278,0.0,1.0152542372881355,0,0
Male,,Yes,Yes,49,,No,DSL,,,,,,,Month-to-month,No,Credit card (automatic),59.6,2970.3,0,4-5yr,0.020065313268020066,0.0,1.192,0,0
Female,,No,No,30,,No,DSL,,,,,,,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,0,2-3yr,0.036129622370312295,0.0,1.7838709677419353,0,1
Male,,Yes,Yes,47,,Yes,Fiber optic,,,,,,,Month-to-month,Yes,Electronic check,99.35,4749.15,1,3-4yr,0.02091953296905762,0.0,2.0697916666666667,0,0
Male,,Yes,Yes,1,,No phone service,DSL,,,,,,,Month-to-month,No,Electronic check,30.2,30.2,1,0-1yr,1.0,0.0,15.1,0,1
Male,,Yes,No,72,,Yes,DSL,,,,,,,Two year,Yes,Credit card (automatic),90.25,6369.45,0,5-6yr,0.014169198282426269,0.0,1.2363013698630136,0,0
Female,,No,Yes,17,,No,DSL,,,,,,,Month-to-month,Yes,Mailed check,64.7,1093.1,1,1-2yr,0.059189461165492646,0.0,3.5944444444444446,0,1
Female,,Yes,No,71,,Yes,Fiber optic,,,,,,,Two year,Yes,Credit card (automatic),96.35,6766.95,0,5-6yr,0.014238320070341882,0.0,1.3381944444444445,0,0
Male,,Yes,No,2,,No,Fiber optic,,,,,,,Month-to-month,Yes,Credit card (automatic),95.5,181.65,0,0-1yr,0.5257363060831268,0.0,31.833333333333332,0,1
